IdEjemplar,Fuente,AnioColecta,Altitud,Estado,Municipio,Localidad,Taxa,AnioDeterminacion,Fuente de georreferencia,LatitudGrados,LatitudMinutos,LatitudSegundos,LongitudGrados,LongitudMinutos,LongitudSegundos,Habitat,Habitat
38,JE014,1995,990,JALISCO,EJUTLA,"2 km de El Palmar de San Antonio, rumbo a San Lorenzo","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,54,18.66,-104,2,2.15,Silvestre,Silvestre
39,JE014,1995,1010,JALISCO,EJUTLA,San Lorenzo,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,27.59,-103,59,24.26,Entre milpas de maíz. Silvestre,Silvestre
40,JE014,1995,890,JALISCO,EL LIMÓN,"8 km de Miguel Hidalgo, rumbo a la cortina de la Presa Las Piedras","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,54,57.62,-104,3,46.41,Silvestre,Silvestre
41,JE014,1995,1300,JALISCO,AUTLÁN DE NAVARRO,"15 km al SW de Autlán, Puerto los Mazos","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,42,1.61,-104,23,13.21,Silvestre,Silvestre
42,JE014,1995,1215,JALISCO,EL GRULLO,"8 km de El Grullo, carretera que va a Ejutla","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,52,12.50,-104,13,9.23,Silvestre,Silvestre
43,JE014,1995,1590,JALISCO,TECOLOTLÁN,"15 km del W de Tecolotlán, Los Cuartos, a 60 km del W del crucero Ejutla, puente de Tula, carretera Guadalajara-Tecolotlán","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,15,29.11,-103,56,31.93,Al borde de la carretera. Silvestre,Silvestre
44,JE014,1995,1590,JALISCO,TECOLOTLÁN,"15 km del W de Tecolotlán, Los Cuartos, a 60 km del W del crucero Ejutla, puente de Tula, carretera Guadalajara-Tecolotlán","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,15,29.11,-103,56,31.93,Silvestre,Silvestre
45,JE014,1995,1150,JALISCO,AMECA,Jayamitla,"Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,35,17.13,-104,10,33.96,"A los lados de las milpas, sobre el camino. Silvestre",Silvestre
46,JE014,1995,1230,JALISCO,AMECA,"4 km de La Pareja, entre La Pareja y Lagunilla","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,35,9.40,-104,13,37.32,Silvestre,Silvestre
47,JE014,1995,1110,JALISCO,AMECA,"2 km de Queixpan, camino a Las Raíces","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,36,36.24,-104,13,12.47,"A los lados del camino entre rocas, con cultivos de maíz y teozintle. Silvestre",Silvestre
48,JE014,1995,1110,JALISCO,AMECA,"2 km de Queixpan, camino a Las Raíces","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,36,36.24,-104,13,12.47,"A los lados del camino entre rocas, con cultivos de maíz y teozintle. Silvestre",Silvestre
49,JE014,1995,1110,JALISCO,AMECA,"2 km de Queixpan, camino a Las Raíces","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,36,36.24,-104,13,13.47,"A los lados del camino, con cultivos de maíz y teozintle. Silvestre",Silvestre
50,JE014,1995,1930,MICHOACÁN DE OCAMPO,HUANIQUEO,"Carretera nueva (cuota) km 286, puente El Colorado tramo Puruandiro-Morelia","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,54,5.00,-101,34,31,En borde de milpa. Silvestre,Silvestre
51,JE014,1995,1900,MÉXICO,TEMASCALTEPEC,"5 km al SW de Temascaltepec, rumbo a Tejupilco","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,2,12.00,-100,2,44,Silvestre,Silvestre
52,JE014,1995,1900,MÉXICO,TEMASCALTEPEC,"5 km al SW de Temascaltepec, rumbo a Tejupilco","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,2,12.00,-100,2,44,Silvestre,Silvestre
53,JE014,1995,1200,MÉXICO,TEJUPILCO,12 km de Tejupilco,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",18,52,40.00,-100,13,37,Silvestre,Silvestre
54,JE014,1995,1500,MÉXICO,TEJUPILCO,4 km de Tejupilco,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",18,53,56.00,-100,10,52,Silvestre,Silvestre
55,JE014,1995,1890,MÉXICO,TEMASCALTEPEC,"Real de Arriba, carretera a Comunal-Chichotla, a 6 km (entrando por Temascaltepec) de la desviación a Real de Arriba","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,2,31.00,-100,1,39,Silvestre,Silvestre
56,JE014,1995,1950,MÉXICO,TEMASCALTEPEC,8 km camino a Chichotla,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,3,37.00,-99,59,10,Silvestre,Silvestre
57,JE014,1996,9999,PUEBLA,ZACAPOAXTLA,"San Carlos, a orillas de la carretera Zacapoaxtla-Apulco","Phaseolus glabellus - Piper, 1926",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,54,30.16,-97,36,8,Silvestre,Silvestre
58,JE014,1996,1260,PUEBLA,XOCHITLÁN DE VICENTE SUÁREZ,"Huapalegcan, en milpa de Don Raúl Anastasio Antonio","Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,14.10,-97,39,56.68,Cultivado,Cultivado
59,JE014,1996,1260,PUEBLA,XOCHITLÁN DE VICENTE SUÁREZ,"Huapalegcan, en milpa de Don Raúl Anastasio Antonio","Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,14.10,-97,39,56.68,Cultivado,Cultivado
60,JE014,1996,1260,PUEBLA,XOCHITLÁN DE VICENTE SUÁREZ,"Huapalegcan, en milpa de Don Raúl Anastasio Antonio","Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,14.10,-97,39,56.68,Cultivado,Cultivado
61,JE014,1996,1260,PUEBLA,XOCHITLÁN DE VICENTE SUÁREZ,"Huapalegcan, en milpa de Don Raúl Anastasio Antonio","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,14.10,-97,39,56.68,Cultivado,Cultivado
62,JE014,1996,2100,JALISCO,TUXPAN,"8 km sobre la desviación del Nevado de Colima, sobre la desviación del Fresnito","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,37,20.75,-103,33,17.56,Silvestre,Silvestre
63,JE014,1996,1870,JALISCO,SAN GABRIEL,Los García,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,38,16.12,-103,40,16.22,Silvestre,Silvestre
64,JE014,1996,1300,JALISCO,AUTLÁN DE NAVARRO,"Puerto Los Mazos, 15 km al SW de Autlán, carretera a Casimiro Castillo","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,42,1.61,-104,23,13.21,Silvestre,Silvestre
65,JE014,1996,1300,JALISCO,LA HUERTA,"Camino a Nacastillo, Chamela","Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,36,32.80,-104,56,44.93,Silvestre,Silvestre
66,JE014,1998,1460,PUEBLA,NAUZONTLA,Nauzontla,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,31.33,-97,35,34.1,Cultivado,Cultivado
67,JE014,1998,1460,PUEBLA,NAUZONTLA,Nauzontla,"Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,57,31.33,-97,35,34.1,En parcela de experimentación. Cultivado,Cultivado
68,JE014,2000,2000,MÉXICO,SAN SIMÓN DE GUERRERO,"12 Km al SW de la Ciudad de Temascaltepec, La guarida del Coyote","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,0,54.00,-100,3,48,Silvestre,Silvestre
69,JE014,1976,450,JALISCO,CABO CORRIENTES,"Pasando el Puente del Río Las Juntas, camino a Puerto Vallarta, cerca de El Tuito","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,27,5.44,-105,17,35.75,Silvestre,Silvestre
70,JE014,2004,392,OAXACA,SAN PEDRO POCHUTLA,"22 km al E de Pochutla, 1 km del puente Chacalapilla","Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",15,53,7.00,-96,29,13,Silvestre,Silvestre
71,JE014,2004,1660,OAXACA,TLALIXTAC DE CABRERA,"Tlalixtac de Cabrera, a 7 km al NE de la ciudad de Oaxaca","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,6,30.99,-96,38,19,Silvestre,Silvestre
72,JE014,2005,1736,GUERRERO,CHILPANCINGO DE LOS BRAVO,"Al NE de la ciudad de Chilpancingo, Estación de Microondas Frontera","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,33,20.79,-99,27,47.82,Silvestre,Silvestre
73,JE014,2005,1736,GUERRERO,CHILPANCINGO DE LOS BRAVO,"Al NE de la ciudad de Chilpancingo, Estación de Microondas Frontera","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,33,20.79,-99,27,47.82,Silvestre,Silvestre
74,JE014,1976,1280,JALISCO,TECALITLÁN,"Carretera que va a Jiquilpan, a 8 km para llegar a Tecalitlán, entre Pihuamo y Mazamitla","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,32,16.29,-103,18,53.53,Silvestre,Silvestre
75,JE014,2005,980,GUERRERO,COCULA,"Tlanipatlán, a 8 km al NW de Acalmantlila","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",18,10,5.65,-99,44,14.47,Silvestre,Silvestre
76,JE014,2005,1472,GUERRERO,IXCATEOPAN DE CUAUHTÉMOC,"34 km de Teloloapan, carretera Teloloapan-Iguala-Xalostoc","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",18,25,52.10,-99,44,20.13,Silvestre,Silvestre
77,JE014,2005,1760,JALISCO,PONCITLÁN,"6 km al W sobre la terracería Poncitlán a Mezcala, Las Minas","Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,19,27.88,-102,56,12.69,Silvestre,Silvestre
78,JE014,2006,258,GUERRERO,ATOYAC DE ÁLVAREZ,"7 km al NE de Atoyac, El Chachalaco","Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,14,21.47,-100,24,37.89,Silvestre,Silvestre
79,JE014,2008,1878,GUERRERO,LEONARDO BRAVO,"8 km al W de Iyotla, carretera rumbo a Filo de Caballo","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,38,5.45,-99,46,5.44,Silvestre,Silvestre
80,JE014,2008,1878,GUERRERO,LEONARDO BRAVO,"8 km al W de Iyotla, carretera rumbo a Filo de Caballo","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",17,38,5.45,-99,46,5.44,Silvestre,Silvestre
81,JE014,1976,1700,JALISCO,TECOLOTLÁN,"Entre Los Ailes y El Mirador, a 1 km de El Mirador (cerca de Cocula), carretera a Barra de Navidad","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,16,10.01,-103,55,19.5,Silvestre,Silvestre
82,JE014,1976,9999,MÉXICO,TEXCOCO,Colegio de Postgraduados Chapingo,"Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,27,44.00,-98,54,14,Cultivado,Cultivado
83,JE014,1977,20,JALISCO,PUERTO VALLARTA,Puerto Vallarta,"Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,37,9.24,-105,13,22.53,Silvestre,Silvestre
84,JE014,1977,100,JALISCO,LA HUERTA,"Estación de Biología Chamela, UNAM","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,29,37.48,-105,2,50.46,Cultivado,Cultivado
85,JE014,1977,2180,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,"San Cristóbal de Las Casas, km 13 del Periférico, S de la Ciudad","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,42,11.89,-92,37,15,Silvestre,Silvestre
86,JE014,1977,2260,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,"La Venta, paraje de Ichinton","Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,45,38.94,-92,41,0.67,Cultivado,Cultivado
87,JE014,1977,2080,OAXACA,VILLA SOLA DE VEGA,16 km al W de Sola de Vega,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,27,50.06,-97,0,46.5,Silvestre,Silvestre
88,JE014,1977,1210,OAXACA,SAN PEDRO JUCHATENGO,9 km al SW de San Pedro Juchatengo,"Phaseolus microcarpus - Mart., 1831",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,18,53.51,-97,7,0.81,Silvestre,Silvestre
89,JE014,1977,1210,OAXACA,SAN PEDRO JUCHATENGO,9 km al SW de San Pedro Juchatengo,"Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,18,53.51,-97,7,0.81,Silvestre,Silvestre
90,JE014,1975,1500,HIDALGO,MOLANGO DE ESCAMILLA,1 km al N de Molango,"Phaseolus glabellus - Piper, 1926",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,48,14.87,-98,43,55.17,Silvestre,Silvestre
91,JE014,1976,1150,JALISCO,CASIMIRO CASTILLO,"Subiendo de Autlán a La Huerta, a 2 km de El Mirador, carretera a Barra de Navidad","Phaseolus leptostachyus - Benth., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",19,41,44.16,-104,24,49.94,Silvestre,Silvestre
92,JE014,1977,370,OAXACA,SAN PEDRO POCHUTLA,8 km al E de San José Chacalapa,"Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",15,49,51.74,-96,24,47.61,Silvestre,Silvestre
93,JE014,1977,1770,OAXACA,SAN PEDRO EL ALTO,"7 km al E de Jalatengo, carretera Pochutla-Oaxaca","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,1,54.92,-96,30,26.98,Silvestre,Silvestre
94,JE014,1975,1490,HIDALGO,LOLOTLA,Ixtlahuaco,"Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,52,47.26,-98,42,7.19,Cultivado,Cultivado
95,JE014,1975,1490,HIDALGO,LOLOTLA,"Lolotla, Ixtlahuaco","Phaseolus glabellus - Piper, 1926",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,52,47.26,-98,42,7.19,Silvestre,Silvestre
96,JE014,1977,1479,CHIAPAS,LA TRINITARIA,"Colonia Tziscao, 10 km de la desviación de las Lagunas de Montebello, orillas del Lago Tziscao","Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",16,4,56.05,-91,40,22.9,Cultivado,Cultivado
97,JE014,1977,350,VERACRUZ DE IGNACIO DE LA LLAVE,CATEMACO,"3 km al E de Catemaco, Playa Azul","Phaseolus lunatus var. silvester - Baudet, 1977",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",18,25,42.00,-95,5,25,Silvestre,Silvestre
98,JE014,1975,1510,HIDALGO,SAN AGUSTÍN METZQUITITLÁN,"40 km de Molango, rumbo a Huayacocotla","Phaseolus vulgaris - L., 1753",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,34,35.41,-98,33,7.84,Cultivado,Cultivado
99,JE014,1975,1510,HIDALGO,TLANCHINOL,"Tlanchinol, a 40 km al NE de Molango","Phaseolus dumosus - Macfad., 1837",2013,"SIG Google Earth 7.1.2.2041, mayo 2015",20,59,26.30,-98,39,51.13,Cultivado,Cultivado
